187837, 	441 ,1536,2051180.04
144277, 	444 ,1378,1370178.47022
146525, 	412 ,1342,1231088.778465
118883, 	569 ,1359,1122295.94022
179546.3, 	689 ,1563,2028873.19
162464, 	644 ,1470,2167304
224650, 	616 ,1543,2324746
235860, 	745 ,1403,2535495
296672, 	876 ,1436,3619398.4
297793.049999974, 	929 ,1824,3686677.95899968
302192.91, 	935 ,1475,3454064.9613
338284, 	887 ,1569,3859820.44
349309, 	860 ,1370,3618841.24
348153, 	809 ,1251,3049820.28
332544, 	798 ,1476,3079357.44
350966.602058812, 	904 ,1829,4172992.89847927
368982, 	720 ,1456,3863241.54
356615, 	601 ,1587,2162658.77658167
84677, 	441 ,1536,968704.88
83010.01, 	444 ,1378,831803.4654052
72715, 	412 ,1342,640036.935538
72263, 	569 ,1359,714672.39844
74168.9, 	689 ,1563,878901.465
75928, 	644 ,1470,949876
73361, 	616 ,1543,845009
70419, 	745 ,1403,766158
84396.3300000001, 	876 ,1436,1043138.64
83792.13, 	929 ,1824,1020588.1434
83247.5516255173, 	935 ,1475,953184.466112173
84591, 	887 ,1569,963491.49
85767, 	860 ,1370,964021.08
86253, 	809 ,1251,767651.7
86412, 	798 ,1476,814865.16
87601.4423874201, 	904 ,1829,1046837.23652967
88112, 	720 ,1456,910196.96
87177, 	601 ,1587,632905.02
500461, 	441 ,1536,5725273.84
521883, 	444 ,1378,5229539.03916
429205, 	412 ,1342,3777859.491406
430666, 	569 ,1359,4259235.06008
430268.45, 	689 ,1563,5270788.5125
379669, 	644 ,1470,5004117
463722, 	616 ,1543,5061548
492031, 	745 ,1403,5249970
504975.340000001, 	876 ,1436,6206146.93
574971.579999941, 	929 ,1824,7031902.42339928
578644.380781407, 	935 ,1475,6718061.26087213
605422, 	887 ,1569,6938136.12
604691, 	860 ,1370,6597178.81
611752, 	809 ,1251,6001287.12
614060, 	798 ,1476,5907257.2
617014.819813214, 	904 ,1829,7360986.80037165
623655, 	720 ,1456,6411173.4
619661, 	601 ,1587,3885274.47
75229, 	441 ,1536,821500.68
74857, 	444 ,1378,748334.94902
76735, 	412 ,1342,644719.996011
80666, 	569 ,1359,761514.46644
102349.75, 	689 ,1563,1125847.25
76681, 	644 ,1470,1022946
89155, 	616 ,1543,1022515
92797, 	745 ,1403,998495
97626, 	876 ,1436,1202752.32
113542.539999989, 	929 ,1824,1457886.21359986
129666.852694679, 	935 ,1475,1515805.5080008
132527, 	887 ,1569,1546590.09
133049, 	860 ,1370,1430276.75
143038, 	809 ,1251,1273038.2
144250, 	798 ,1476,1355950
146330.710026792, 	904 ,1829,1741335.44931883
149961, 	720 ,1456,1564093.23
148740, 	601 ,1587,935574.6
17421, 	441 ,1536,199296.24
17472, 	444 ,1378,175078.52544
16984, 	412 ,1342,149493.0525088
16647, 	569 ,1359,164636.83236
55858.45, 	689 ,1563,614442.95
35703, 	644 ,1470,472718
40305, 	616 ,1543,476922
61255, 	745 ,1403,652365
76727.0400000001, 	876 ,1436,942208.05
86426.8599999883, 	929 ,1824,1078607.21279985
80840.300111076, 	935 ,1475,978976.03434513
